County,Center Name,Peer Service Coordinator,Coverage Area,Phone Number,Email,Address,City,Zip Code,Longitude/Latitude,Location URL
Starr,Border Region Behavioral Health Center,Jerry Alvarado,Laredo,(956)771-0335,gerardoa@borderregion.org,1500 Pappas Street - Laredo,Laredo,78401,"27.537116434175193, -99.47639523130407",https://goo.gl/maps/tTMb1d1z5n4wduEr5
Webb,Border Region Behavioral Health Center,Jerry Alvarado,Laredo,(956)771-0335,gerardoa@borderregion.org,1500 Pappas Street - Laredo,Laredo,78401,"27.537116434175193, -99.47639523130407",https://goo.gl/maps/tTMb1d1z5n4wduEr5
Zapata,Border Region Behavioral Health Center,Jerry Alvarado,Laredo,(956)771-0335,gerardoa@borderregion.org,1500 Pappas Street - Laredo,Laredo,78401,"27.537116434175193, -99.47639523130407",https://goo.gl/maps/tTMb1d1z5n4wduEr5
Angelina,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Houston,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Jasper,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Nacogdoches,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Newton,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Polk,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Sabine,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
San Augustine,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
San Jacinto,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Shelby,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Trinity,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Tyler,Burke,Michele Conner,Lufkin,(936)225-2887,Michele.Conner@myburke.org,4101 S. Medford Drive - Lufkin,Lufkin,75901,"31.313333851744336, -94.71856596005253",https://goo.gl/maps/DnCveLJfRCKhxrYa6
Atascosa,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
Dimmit,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
Frio,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
Karnes,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
La Salle,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
Maverick,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
McMullen,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
Wilson,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
Zavala,Camino Real Community Services,James Schaale,South Central,(830)742-2038,JamesS@caminorealcs.org,19965 FM 3175 N. - Lytle,Lytle,78052,"29.22473600668137, -98.79486323126638",https://goo.gl/maps/bNW27AxJTDhUgNax7
Brown,Center for Life Resources,Sean Lewis,Heart of Texas/Brownwood,(325)998-6533,sean.lewis@cflr.us,2222 US-377 - Brownwood,Brownwood,76801,"31.705641981509025, -98.99368516004289",https://goo.gl/maps/x7vFVJhRZftRsRT37
Coleman,Center for Life Resources,Sean Lewis,Heart of Texas/Brownwood,(325)998-6533,sean.lewis@cflr.us,2222 US-377 - Brownwood,Brownwood,76801,"31.705641981509025, -98.99368516004289",https://goo.gl/maps/x7vFVJhRZftRsRT37
Comanche,Center for Life Resources,Sean Lewis,Heart of Texas/Brownwood,(325)998-6533,sean.lewis@cflr.us,2222 US-377 - Brownwood,Brownwood,76801,"31.705641981509025, -98.99368516004289",https://goo.gl/maps/x7vFVJhRZftRsRT37
Eastland,Center for Life Resources,Sean Lewis,Heart of Texas/Brownwood,(325)998-6533,sean.lewis@cflr.us,2222 US-377 - Brownwood,Brownwood,76801,"31.705641981509025, -98.99368516004289",https://goo.gl/maps/x7vFVJhRZftRsRT37
McCulloch,Center for Life Resources,Sean Lewis,Heart of Texas/Brownwood,(325)998-6533,sean.lewis@cflr.us,2222 US-377 - Brownwood,Brownwood,76801,"31.705641981509025, -98.99368516004289",https://goo.gl/maps/x7vFVJhRZftRsRT37
Mills,Center for Life Resources,Sean Lewis,Heart of Texas/Brownwood,(325)998-6533,sean.lewis@cflr.us,2222 US-377 - Brownwood,Brownwood,76801,"31.705641981509025, -98.99368516004289",https://goo.gl/maps/x7vFVJhRZftRsRT37
San Saba,Center for Life Resources,Sean Lewis,Heart of Texas/Brownwood,(325)998-6533,sean.lewis@cflr.us,2222 US-377 - Brownwood,Brownwood,76801,"31.705641981509025, -98.99368516004289",https://goo.gl/maps/x7vFVJhRZftRsRT37
Bell,Central Counties Services,Greg Gutierrez,Greater Fort Hood Area,254-813-5834,BEITZ.MVPN2@gmail.com,204 Priest Drive - Killeen,Killeen,76541,"31.11464102242055, -97.73375436005738",https://goo.gl/maps/YmhD6USDU5iETuk67
Coryell,Central Counties Services,Greg Gutierrez,Greater Fort Hood Area,254-813-5834,BEITZ.MVPN2@gmail.com,204 Priest Drive - Killeen,Killeen,76541,"31.11464102242055, -97.73375436005738",https://goo.gl/maps/YmhD6USDU5iETuk67
Hamilton,Central Counties Services,Greg Gutierrez,Greater Fort Hood Area,254-813-5834,BEITZ.MVPN2@gmail.com,204 Priest Drive - Killeen,Killeen,76541,"31.11464102242055, -97.73375436005738",https://goo.gl/maps/YmhD6USDU5iETuk67
Lampasas,Central Counties Services,Greg Gutierrez,Greater Fort Hood Area,254-813-5834,BEITZ.MVPN2@gmail.com,204 Priest Drive - Killeen,Killeen,76541,"31.11464102242055, -97.73375436005738",https://goo.gl/maps/YmhD6USDU5iETuk67
Milam,Central Counties Services,Greg Gutierrez,Greater Fort Hood Area,254-813-5834,BEITZ.MVPN2@gmail.com,204 Priest Drive - Killeen,Killeen,76541,"31.11464102242055, -97.73375436005738",https://goo.gl/maps/YmhD6USDU5iETuk67
Bailey,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Briscoe,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Castro,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Floyd,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Hale,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Lamb,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Motley,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Parmer,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Swisher,Central Plains Center,Charles Pierce,Plainview,(806)685-1399,charlesp@clplains.org,715 Houston St - Plainview,Plainview,79072,"34.18816446509348, -101.7133787311438",https://goo.gl/maps/9SntdXfvKmhEDUaE8
Aransas,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Bee,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Brooks,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Duval,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Jim Wells,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Kenedy,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Kleberg,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Live Oak,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
San Patricio,Coastal Plains Community Center,Jaime Cantu,Coastal Bend Area,361-592-6481,JCantu@CoastalPlainsCtr.org,1621 E. Corral - Kingsville,Kingsville,78363,"27.530418747222615, -97.84595386013987",https://goo.gl/maps/g3bCVvwjrzjBchC9A
Bowie,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Cass,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Gregg,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Harrison,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Marion,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Panola,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Red River,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Rusk,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Upshur,Community Healthcore,Ken Hansen,North East Texas,(903)932-6103,kenneth.hansen@communityhealthcore.com,501 Pine Tree Road - Longview,Longview,75605,"32.51105879745063, -94.79725986002282",https://goo.gl/maps/kCAA6snbRo2Lmfdr9
Denton,Denton County MHMR Center,Kasey Brown,Denton,(701)866-2758,kasey@dentoncountymvpn.com,2519 Scripture Street - Denton,Denton,76201,"33.21853823220251, -97.16497386000475",https://goo.gl/maps/okov7b7zmVuAghxR6
El Paso,Emergence Health Network,Shelia Anthony,El Paso,(915)747-3590 ext. 15127,syanthony@EHNELPASO.ORG,9565 Diana Drive - El Paso,El Paso,79924,"31.880750685884315, -106.4307058312029",https://goo.gl/maps/sv2yCTiCx54ZWMTw9
Calhoun,Gulf Bend Center,Oscar Pulido,Victoria,(361)220-9984,oscar5327@gulfbend.org,6502 Nursery Drive Suite. 100 - Victoria,Victoria,77904,"28.853815300259253, -97.02028016011052",https://goo.gl/maps/yCAkUG5XSpgKBkMc9
DeWitt,Gulf Bend Center,Oscar Pulido,Victoria,(361)220-9984,oscar5327@gulfbend.org,6502 Nursery Drive Suite. 100 - Victoria,Victoria,77904,"28.853815300259253, -97.02028016011052",https://goo.gl/maps/yCAkUG5XSpgKBkMc9
Goliad,Gulf Bend Center,Oscar Pulido,Victoria,(361)220-9984,oscar5327@gulfbend.org,6502 Nursery Drive Suite. 100 - Victoria,Victoria,77904,"28.853815300259253, -97.02028016011052",https://goo.gl/maps/yCAkUG5XSpgKBkMc9
Jackson,Gulf Bend Center,Oscar Pulido,Victoria,(361)220-9984,oscar5327@gulfbend.org,6502 Nursery Drive Suite. 100 - Victoria,Victoria,77904,"28.853815300259253, -97.02028016011052",https://goo.gl/maps/yCAkUG5XSpgKBkMc9
Lavaca,Gulf Bend Center,Oscar Pulido,Victoria,(361)220-9984,oscar5327@gulfbend.org,6502 Nursery Drive Suite. 100 - Victoria,Victoria,77904,"28.853815300259253, -97.02028016011052",https://goo.gl/maps/yCAkUG5XSpgKBkMc9
Refugio,Gulf Bend Center,Oscar Pulido,Victoria,(361)220-9984,oscar5327@gulfbend.org,6502 Nursery Drive Suite. 100 - Victoria,Victoria,77904,"28.853815300259253, -97.02028016011052",https://goo.gl/maps/yCAkUG5XSpgKBkMc9
Victoria,Gulf Bend Center,Oscar Pulido,Victoria,(361)220-9984,oscar5327@gulfbend.org,6502 Nursery Drive Suite. 100 - Victoria,Victoria,77904,"28.853815300259253, -97.02028016011052",https://goo.gl/maps/yCAkUG5XSpgKBkMc9
Brazoria,Gulf Coast Center,Glen McGraw,Galveston,(409)944-4437 ext. 10052,GlenM@gulfcoastcenter.org,"123 Rosenberg Street (25th), Suite 6 - Galveston",Galveston,77550,"29.306780596246956, -94.7970872312645",https://goo.gl/maps/osrXwtAdGtcyCvbZ9
Galveston,Gulf Coast Center,Glen McGraw,Galveston,(409)944-4437 ext. 10052,GlenM@gulfcoastcenter.org,"123 Rosenberg Street (25th), Suite 6 - Galveston",Galveston,77550,"29.306780596246956, -94.7970872312645",https://goo.gl/maps/osrXwtAdGtcyCvbZ9
Bosque,Heart of Texas Region MHMR Center,Position Available,Waco,TBA,TBA,110 S. 12th St.,Waco,76706,"31.551333480479222, -97.13779476004673",https://goo.gl/maps/K28f191QvB5cWu7P8
Falls,Heart of Texas Region MHMR Center,Position Available,Waco,TBA,TBA,110 S. 12th St.,Waco,76706,"31.551333480479222, -97.13779476004673",https://goo.gl/maps/K28f191QvB5cWu7P8
Freestone,Heart of Texas Region MHMR Center,Position Available,Waco,TBA,TBA,110 S. 12th St.,Waco,76706,"31.551333480479222, -97.13779476004673",https://goo.gl/maps/K28f191QvB5cWu7P8
Hill,Heart of Texas Region MHMR Center,Position Available,Waco,TBA,TBA,110 S. 12th St.,Waco,76706,"31.551333480479222, -97.13779476004673",https://goo.gl/maps/K28f191QvB5cWu7P8
Limestone,Heart of Texas Region MHMR Center,Position Available,Waco,TBA,TBA,110 S. 12th St.,Waco,76706,"31.551333480479222, -97.13779476004673",https://goo.gl/maps/K28f191QvB5cWu7P8
McLennan,Heart of Texas Region MHMR Center,Position Available,Waco,TBA,TBA,110 S. 12th St.,Waco,76706,"31.551333480479222, -97.13779476004673",https://goo.gl/maps/K28f191QvB5cWu7P8
Archer,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Baylor,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Childress,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Clay,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Cottle,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Dickens,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Foard,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Hardeman,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Haskell,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
Jack,Helen Farabee Centers,Elliot Bonner,Wichita Falls,(940)397-3315,bonnere@helenfarabee.org,500 Broad St - Wichita Falls,Wichita Falls,76307,"33.910537120090886, -98.50178803115115",https://goo.gl/maps/DYxkV1st2VQVRCUJ8
